Booth Number,Pos X,Pos Y,Pos Z,Rotation Y (Degrees),Booth Name,Univ Name
S9B3,-17.4263,2.8704,-21.7023,-90.0,저탄소 농업 기반 스마트 유통 연구센터,순천대학교
S9B4,-17.4263,2.8704,-16.208,-90.0,지능형 스마트 농업 Grand ICT 연구센터,순천대학교
S9B5,-16.5292,2.8704,-16.208,90.0,ICT융합 제조지능화진흥 연구센터,한국공학대학교
S9B6,-16.5292,2.8704,-21.7023,90.0,데이터기반 에너지시스템 혁신 연구센터,가천대학교
S9B7,-16.5292,2.8704,-27.1966,90.0,탄소중립 ESG ICT 연구센터,중앙대학교
S9B8,-16.5292,2.8704,-32.6909,90.0,AI융합연구원,숭실대학교
S9B9,-26.2396,2.8704,-19.5877,90.0,복합지능ICT 연구센터,경북대학교
S9B10,-26.2396,2.8704,-25.082,90.0,차세대 스마트팜 ICT 융합기술 연구센터,공주대학교
S9B11,-26.2396,2.8704,-30.5762,90.0,ICT융합 특성화 연구센터,금오공과대학교
S10B1,-17.4263,2.8704,5.7691,-90.0,UAM-eVTOL 융합 연구센터,세종대학교
S10B2,-17.4263,2.8704,11.2634,-90.0,데이터 기반 지능형 모빌리티 연구센터,경북대학교
S10B3,-17.4263,2.8704,16.7576,-90.0,초연결 기반 협력형 무인자율이동체 연구센터,금오공과대학교
S10B4,-16.5292,2.8704,16.7576,90.0,문화행사,문화행사
S10B5,-16.5292,2.8704,11.2634,90.0,지능통감융합 연구센터,KAIST
S10B6,-16.5292,2.8704,5.7691,90.0,배리어프리 ICT기술 연구센터,단국대학교
S10B7,-26.2396,2.8704,13.378,90.0,3차원 모빌리티 통신 센터,서울대학교
S10B8,-26.2396,2.8704,7.8837,90.0,산업인공지능 연구센터,충북대학교
S11B1,-15.7800,2.8704,-4.1700,-90.0,AI보안연구센터,숭실대학교
S11B2,-26.2396,2.8704,-4.1700,90.0,국방 지능형 군집체계 연구센터,KAIST
